jammerlich-adj; adv	pathetic; miserably
 anschliefsend-adv;	subsequently;
inappropriately  armselig-adj; adv	pathetic; poorly
 irrelevant-adj	irrelevant
 einwandfrei-adj;	impeccable; flawlessly
 ungezogen-adj	rude
 verschlagen-adj;	devious; slyly; blend
 objectively; objective  erfrischend-adj	refreshing
 uberholt-adj	obsolete
 fehlend-adj	missing, absent
 homosexuell-adj;	homosexual;
 rau-adj; adv	rough; harshly
 bleich-adj	pale
 seekrank-adj	seasick
 machbar-adj	feasible
futsch-adj	gone (coll)
ehrenwert-adj; adv	honorable; honorably
mager-adj; adv	thin; thinly
unverzeihlich-adj;	unforgivable;
rasend-adj	frantic, furious
u nangebracht-adj;	inappropriate;
maximal-adj; adv	maximum; at most
lachend-adj; adv	laughing; laughingly
gescheit-adj	sensible
obdachlos-adj	homeless
vorbestraft-adj	previously convicted
unfreundlich-adj;	unfriendly
ungelegen-adj; adv	inconvenient; untimely
aberglaubisch-adj	superstitious
telefonisch-adv; adj	by phone; telephonic
ungeeignet-adj; adv	unsuitable; unsuitably
ungesund-adj; adv	unhealthy; unhealthily
verbittert-adj; adv	bitter; bitterly
antik-adj	antique, ancient
nervig-adj	annoying (coll)
gewillt-adj	willing
beunruhigend-adj;	troubling; worryingly
schlapp-adj; adv	limp; limply
schamlos-adj; adv	shameless;
irisch-adj	Irish
irdisch-adj	earthly
unglaubig-adj; adv	incredulous; doubtfully
unerreichbar-adj	unattainable
augenblicklich-adj;	current, instant;
ebenburtig-adj	equal
grotesk-adj; adv	grotesque; ludicrously
Vanille-F; adj	vanilla
unwurdig-adj; adv	unworthy; unworthily
vorzuglich-adj; adv	excellent; excellently
gnadenlos-adj; adv	merciless; mercilessly
kuhn-adj; adv	bold; audaciously
gleichma ig-adv;	evenly; consistent
uberglucklich-adj;	overjoyed, blissfully
unschlagbar-adj	invincible
koscher-adj	kosher
lebensmude-adj	suicidal
selbstsuchtig-adj;	selfish; selfishly
nobel-adj	posh
abwesend-adj	absent, distracted
strafba r-adj	punishable
aufd ri nglich-adj;	intrusive; intrusively
senii-adj	senile
uberlegt-adv; adj	informed, considered
dumpf-adj	dull
gestrig-adj	yesterday's
unmittelbar-adv;	directly; direct
impulsiv-adj; adv	impulsive; impulsively
brandneu-adj	brand new
sturmisch-adj; adv	stormy; thunderously
divers-adj	miscellaneous
fruchtbar-adj; adv	fertile; fruitfully
gutaussehend-adj	handsome
verlasslich-adj	reliable
haargenau-adj; adv	exact (coll); exactly
unzuverlassig-adj;	unreliable; unreliably
authentisch-adj	authentic
gefuhllos-adj; adv	callous; callously
stramm-adj	sturdy
durr-adj	scrawny, dry
intim-adj	intimate
schmeichelhaft-adj;	flattering; flatteringly
makellos-adj; adv	immaculate;
erhaben-adj; adv	lofty; loftily
uralt-adj	ancient
sparsam-adj; adv	economical;
unterirdisch-adj	underground
heikel-adj	delicate, tricky
unnaturlich-adj; adv	unnatural; unnaturally
legendar-adj	legendary
erniedrigend-adj	degrading
lieblich-adj	lovely
widerwa rtig-adj;	despicable;
knallhart-adj	tough (coll)
unbezahlbar-adj;	priceless; pricelessly
vorderer-adj	front, leading
inakzeptabel-adj	unacceptable
unterhaltsam-adj	entertaining
bizarr-adj	bizarre
unberuhrt-adj	pristine, untouched
glaubig-adj	religious
liebenswert-adj;	endearing; endearingly
aussichtslos-adj;	hopeless; hopelessly
uninteressant-adj	uninteresting
gelehrt-adj	erudite
u berdrussig-adj	weary
Genfer-adj	Genevan
schlafrig-adj; adv	sleepy; sleepily
aerbeste-adj	very best
unehrlich-adj; adv	dishonest; dishonestly
stehend-adj	standing, stationary
unreif-adj; adv	immature; immaturely
ledig-adj	single
ungeheuerlich-adj;	outrageous;
erfolglos-adj; adv	unsuccessful; without
grandios-adj	terrific
smart-adj	smart (coll)
kugelsicher-adj	bulletproof
unbrauchbar-adj	useless
rucksichtsvoll-adj;	considerate;
impotent-adj	impotent
spa Big-adj	funny
hamisch-adj	gloating
verschollen-adj	missing
parat-adj	ready, handy
selbstsicher-adj;	confident; confidently
frustrierend-adj	frustrating
murrisch-adj; adv	grumpy; grumpily
verschwitzt-adj	sweaty
verwundbar-adj;	vulnerable; vulnerably
allererster-adj	very first
unerwunscht-adj	undesirable
durchsichtig-adj;	transparent;
fuhrend-adj	leading
unerfahren-adj	inexperienced
sarkastisch-adj; adv	sarcastic; sarcasticaIly
leitend-adj	leading, conductive
u ngestraft-adj	unpunished
u nfruchtba r-adj	barren
schrill-adj	flashy, shrill
minderjahrig-adj	stunningly
kitschig-adj	corny
gell-adj	shrill, right (coll)
sundig-adj; adv	sinful; sinfully
allerletzter-adj	very last
feindselig-adj	hostile
schwungvoll-adj	bold, peppy
windig-adj	windy
wohlhabend-adj	wealthy
untrostlich-adj	heartbroken
glaubwurdig-adj	credible
demutig-adj; adv	humble; humbly
irrsinnig-adj; adv	insane; insanely
unzertrennlich-adj;	inseparable;
uberlaufen-vb; adj	overflow; overcrowded
kubanisch-adj	Cuban
hektisch-adj	hectic
kauflich-adj	problematically
Llberfallig-adj	overdue
schlafend-adj	asleep
landesweit-adv; adj	nationally; nationwide
hocherfreut-adj	delighted
wortwortlich-adv;	literally; literal
ekelig-adj	impeccably
unwissend-adj; adv	unaware; unwittingly
mafsig-adv; adj	moderately; moderate
kanadisch-adj	Canadian
anspruchsvoll-adj	demanding
bevorstehend-adj	imminent
morgiger-adj	tomorrow's
spektakular-adj	spectacular
leuchtend-adj	luminous
brenzlig-adj	dangerous (coll)
ausgeglichen-adj	balanced
wirr-adj	confused
kleinlich-adj	fussy
zerfallen-vb; adj	decompose;
emport-adj; adv	outraged; indignantly
wasserdicht-adj	waterproof
undicht-adj	leaking
verfuhrerisch-adj;	seductive; seductively
demutigend-adj	humiliating
beruchtigt-adj	notorious
ehrenvoll-adv; adj	honestly; honorable
urkomisch-adj; adv	hilarious; hilariously
furchterregend-adj;	terrifying; terrifyingly
zickig-adj	uptight (coll)
katastrophal-adj;	disastrous; disastrously
salzig-adj	salty
ungerade-adj	odd,uneven
wochentlich-adj;	weekly
kerngesund-adj	in perfect health
rassistisch-adj	racist
gottlos-adj	ungodly
versessen-adj	intent
sitzend-adj	sedentary
kraftvoll-adv; adj	powerfully; powerful
berechtigt-adj	entitled, eligible
ordinar-adj	vulgar, common
hellwach-adj	wide awake
vorstellbar-adj	conceivable
umfassend-adj	comprehensive
knusprig-adj	crispy
adlig-adj	noble
beschamend-adj;	shameful; shamefully
lateinisch-adj; N	Latin
metallisch-adj	metallic
brUnett-adj	brunette
unergrUndlich-adj;	unfathomable;
geistreich-adj	witty
verschlossen-adj	withdrawn, locked
verkommen-adj; vb;	depraved; go to waste;
eigensinnig-adj; adv	stubborn; stubbornly
vielerlei-adj	various
unbequem-adj; adv	uncomfortable;
gesprachig-adj	talkative
lebenswert-adj	worth living
entbehrlich-adj	expendable
zunehmend-adv;	increasingly; increasing
 offensiv-adj; adv	offensive;
 beieinander-adv	together
 obendrein-adv	moreover
 anschliefsend-adv; adj	subsequently;
impeccable;  verschlagen-adj; adv;	devious; slyly; blend
 insgeheim-adv	secretly
 homosexuell-adj; adv	homosexual;
 dermafsen-adv	so,such
ungultig-adj; adv	invalid; unlawfully
beleidigend-adj; adv	inhumanly offensive;
unangebracht-adj; adv	offensively inappropriate;
untereinander-adv	among themselves
ausnahmsweise-adv	exceptionally
rucksichtslos-adj; adv	reckless; recklessly
uberallhin-adv	abroad, everywhere
ununterbrochen-adv;	continuously;
zufaIligerweise-adv	accidentally
beisammen-adv	together
andersrum-adv	the other way
beunruhigend-adj; adv	troubling;
vorzUglich-adj; adv	excellent;
gegenwartig-adv; adj	currently; present
grolstenteils-adv	largely
allemal-adv	always
dummerweise-adv	unfortunately
unanstandig-adj; adv	indecent; indecently
bewundernswert-adj;	admirable;
aufdringlich-adj; adv	intrusive; intrusively
halbwegs-adv	halfway
nachhause-adv	home
glorreich-adj; adv	glorious; gloriously
empor-adv	upwards
sagenhaft-adj; adv	fabulous; fabulously
kopfUber-adv	head first
augenblicklich-adj; adv	current, instant;
genaugenommen-adv	strictly speaking
haufenweise-adv	tons of (coll)
rechtmaBig-adj; adv	legitimate; rightfully
rings-adv	around
ri.icksichtsvoll-adj; adv	considerate;
tags-adv	considerately
strahlend-adj; adv	radiant; brilliantly
sti.irmisch-adj; adv	stormy;
verwundbar-adj; adv	vulnerable;
panisch-adj; adv	panicked; in panic
zweifelsohne-adv	undoubtedly
eindrucksvoll-adj; adv	impressive;
atembera ubend-adj;	breathtaking;
nunmehr-adv	henceforth (fml);
demi.itig-adj; adv	humble; humbly
hoffnungsvoll-adj; adv	hopeful; hopefully
widerwartig-adj; adv	despicable;
hundertprozentig-adv	completely (coll);
auswarts-adv	outward, out
bestenfalls-adv	at best
zuallererst-adv	first of all
mi.irrisch-adj; adv	grumpy; grumpily
diesbezi.iglich-adv	in this respect
bergauf-adv	uphill
zwischendurch-adv	now and again
durchsichtig-adj; adv	transparent;
lachelnd-adj; adv	smiling; with a smile
rundherum-adv	around
gewandt-adj; adv	versatile; deftly
zuruckhaltend-adj; adv	reserved; with
phanomenal-adj; adv	phenomenal;
ubereinander-adv	pretentiously
unwiderstehlich-adj;	irresistible;
paarmal-adv	several times
notfalls-adv	if necessary
seltsamerweise-adv	strangely
ma Big-adv; adj	moderately;
gleichermaBen-adv	equally
woandershin-adv	elsewhere
unordentlich-adj; adv	messy; messily
freundlicherweise-adv	kindly
sonnig-adj; adv	sunny; sunnily
unbeschreiblich-adj;	indescribable;
inspirierend-adj; adv	inspiring
entzwei-adv	in half
unklug-adj; adv	unwise, unwisely
hilfsbereit-adj; adv	helpful; helpfully
folgendermaBen-adv	as follows
hinterhaltig-adj; adv	devious; deceptively
zunehmend-adv; adj	increasingly;
hieruber-adv	about this
kommerziell-adv; adj	commercially;
jeher-adv	*always
hierauf-adv	afterward, on this
anderweitig-adv	otherwise
viertens-adv	fourthly
beschamend-adj; adv	shameful;
soundso-adv	so and so
zuweilen-adv	sometimes (fml)
prachtvoll-adj; adv	gorgeous;
fortan-adv	from now on (fml)
belanglos-adj; adv	trivial;
scharfsinnig-adj; adv	perceptive;
vorsatzlich-adv; adj	intentionally;
Waschmaschine-F	washing machine
Logo-N/M; i	logo; duh (coll)
Limit-N	limit
Zusammenbruch-M	collapse
Makler-M	broker
Fahndung-F	search
Alarm bereitschaft-F	alert
Darm-M	intestine
Aufschrei-M	outcry
Nippel-M	nipple (coll)
Tyrann-M	tyrant, bully
Vormund-M	guardian
Gli::ickchen-N	(little) bell
Pelz-M	fur, coat
Marionette-F	impersonation
Bestechung-F	bribery
Regime-N	regime
Lachs-M	salmon
Schotte-M	Scot
Eintopf-M	stew
Gratulation-F	congratulations
Pointe-F	punchline
Bademantel-M	bathrobe
Paragraph-M	paragraph
Pickel-M	pimple
Einklang-M	unison
BUchse-F	can, rifle
Rektor-M	rector, principal
Alligator-M	demonstration
Barbier-M	barber (fml)
Stamm-M	stem, tribe
Lehrling-M	apprentice
Tanne-F	fir
Kran-M	crane
Belastigu ng-F	trouble, harassment
Kollektion-F	collection
Schlagzeug-N	drums
Horde-F	horde
Pi::ibel-M	mob, plebs (coll)
Patsche-F	trouble (coll)
Kamel-N	camel
Mauschen-N	sweetheart (coll)
Befugnis-F	warrant, authority
Farce-F	farce
Unterhalt-M	maintenance, alimony
Blutvergiefsen-N	bloodshed
BUrgersteig-M	sidewalk
Getriebe-N	transmission
Einzelhaft-F	solitary confinement
Schi-M	ski
Entschlossenheit-F	determination
Kopfgeld-N	bounty
Verurteilung-F	conviction
Prostitution-F	prostitution
Wohnheim-N	hostel, dorm
MolekUI-N	molecule
Serum-N	serum
Karussell-N	carousel
Erloser-M	savior
Eintrag-M	entry
Elch-M	moose
Kerker-M	dungeon
Arche-F	ark
MUcke-F	mosquito
Verwandlung-F	transformation
Durchfall-M	diarrhea
Knaller-M	firecracker (coll)
stottern-vb; N	stammer
Tresen-M	counter, bar
Landkarte-F	map
Begierde-F	desire
Denkmal-N	monument
Demo-N; F	demo (tape);
Blickwinkel-M	perspective
Vers-M	rhyme
Yoga-F	yoga
Ensemble-N	ensemble
Reklame-F	advertisement
Urteilsvermogen-N	judgment
Beil-N	hatchet
Ruin-M	perdition, undoing
Mast-M	mast, pole
Trauung-F	wedding (fml)
Treppenhaus-N	stairwell
Anfall-M	seizure, attack
Hochstapler-M	impostor
Wirtshaus-N	inn
Spatz-M	sparrow
Vorstellungskraft-F	imagination
Gruft-F	vault
lnternat-N	boarding school
Angsthase-M	coward (coll)
Abdruck-M	impression, imprint
Privilegium-N	privilege
Jackpot-M	jackpot
Migrane-F	migraine
Puzzle-N	puzzle
Schmerzmittel-N	painkiller
Drehort-M	(filming) location
Todesangst-F	fear of death
Schminke-F	makeup
GebUsch-N	brush, bushes
RUckstand-M	residue, *behind
Rekrut-M	recruit
Stander-M	pedestal
Fachmann-M	expert
Klammer-F	bracket, staple
Rohre-F	tube
Schimpanse-M	chimpanzee
Torpedo-M	torpedo
Unkraut-N	weed
Abwurf-M	drop
Hackfleisch-N	minced meat
Finanzierung-F	funding
Waggon-M	coach,car
Falke-M	falcon
Cello-N	cello
Automatik-F	automatic(s)
Favorit-M	favorite
Zauberstab-M	wand
Ausschnitt-M	extract, neckline
 Beihilfe-F	allowance, benefit
Schaffner-M	conductor (fml)
ZUgel-M	rein, control
Henker-M	executioner
Wahnvorstellung-F	delusion
Taille-F	waist
Polizeirevier-N	police station
Fass-N	barrel
Zimmermadchen-N	maid
Subjekt-N	subject
Buchhandlung-F	bookstore
Trophae-F	trophy
Kreuzfahrt-F	cruise
Abbild-N	image, likeness
TUrglocke-F	doorbell
GrofszUgigkeit-F	generosity, bounty
Kanalisation-F	sewer
GelUbde-N	vow
Karo-N	diamonds, check
Rasse-F	race, breed
Zweig-M	branch, twig
Kaktus-M	cactus
Vorstrafe-F	criminal record
Gemahl-M	spouse (fml)
Brenner-M	burner
Gliedmafse-F	limb
Demonstrant-M	protester
Stiel-M	stem
Einfall-M	idea, incidence
Atom-N	atom
Finanzamt-N	tax office
Gage-F	fee
Langweiler-M	geek (coll)
Jaguar-M	jaguar
Stinktier-N	skunk
Widerrede-F	backtalk
Todesfall-M	fatality, death
Begnadigung-F	pardon, amnesty
Schuster-M	cobbler
Zeitlang-F	*for a time
Lagerraum-M	storage room
Match-N/M	match
Aufschub-M	delay
Kerbe-F	notch
Funkspruch-M	radio message
Amnesie-F	amnesia
Anleitung-F	instructions
Redakteur-M	editor
Exekution-F	execution
Abrechnung-F	settlement, billing
Leuchtturm-M	lighthouse
Erschopfu ng-F	exhaustion
Spekulation-F	speculation
Hinterhof-M	backyard
Wiedergeburt-F	rebirth
Einzelganger-M	loner
Reue-F	remorse
WUrgen-vb; N	choke; retch
Klebeband-N	(duct) tape
Genesung-F	recovery
Biker-M	biker (coll)
Schwarm-M	swarm, crush
Bohrer-M	drill
Klon-M	clone
Brutalitat-F	brutality
Drucker-M	printer
Kronung-F	coronation
Orchidee-F	orchid
Schlitz-M	slot, slash
Marmor-M	marble
Detektiv-M	detective
Trauzeuge-M	best man
Tanzflache-F	dance floor
Prugelei-F	brawl
Flugbahn-F	trajectory
Logbuch-N	logbook
Engelchen-N	cherub
Bankuberfall-M	bank robbery
Schwertkampfer-M	swordsman
Lebensweise-F	way of life
Heuchelei-F	hypocrisy, pretense
Flugblatt-N	leaflet, broadsheet
Genugtuung-F	satisfaction
Hinterwaldler-M	hillbilly
Gluhbirne-F	(light) bulb
Damentoilette-F	ladies' (room)
Salbe-F	ointment
Kork-M	cork
Kante-F	edge
Ohrfeige-F	slap in the face
Epidemie-F	epidemic
Schokoriegel-M	chocolate bar
Bruchteil-M	fraction
Alphabet-N	alphabet
Regenmantel-M	raincoat
Zielperson-F	subject, target
Pramie-F	premium
Maskottchen-N	mascot
Wendung-F	turn, phrase
Sexualitat-F	sexuality
Ersatzteil-N	spare (part)
Junkie-M	junkie (coll)
Zugfuhrer-M	conductor, engineer
Fete-F	party (coll)
Manipulation-F	manipulation
Vorsitz-M	chairmanship
Jungling-M	youth (fml)
Swimmingpool-M	swimming pool
Staubsauger-M	vacuum cleaner
Bauchschmerz-M	stomachache
Morddezernat-N	homicide (squad)
Balkan-M	Balkans
Klopapier-N	toilet paper (coll)
Gutschein-M	voucher
Drogenhandel-M	drug dealing
Karneval-M	carnival
Intensivstation-F	ICU
Abteil-N	compartment
Delphin-M	dolphin
Lotterie-F	lottery
Flegel-M	boor (coll)
Laus-F	louse
Sage-F	saw
Mahl-N	meal
Spott-M	ridicule
GefaB-N	vessel, container
Kommode-F	dresser
Trance-F	trance
Mitgift-F	dowry
Demutigung-F	humiliation
Postbote-M	postman
Befriedigung-F	satisfaction
Vorahnung-F	premonition
Motivation-F	motivation
Mowe-F	seagull
Wohnsitz-M	residence
Fanatiker-M	zealot
Fusion-F	merger
Vorort-M	suburb
Duo-N	pair
Buchladen-M	bookstore
Erneuerung-F	renewal
FUller-M	pen
Beweismittel-N	evidence
Bahnsteig-M	platform
Simulation-F	simulation
Adaption-F	adaptation
Blockade-F	blockade
Kavalier-M	gentleman
Vagabund-M	vagabond
Reisende-M/F	traveler
Gelander-N	handrail
Schwatzer-M	big mouth (coll)
Umlauf-M	circulation
Gehaltserhohung-F	raise
Knopfchen-N	(little) button
Bauernhof-M	farm
Mythologie-F	mythology
Achterbahn-F	roller coaster
Abmarsch-M	start
SchieBpulver-N	gunpowder
Ohrring-M	earring
Puder-M	powder
DUnger-M	fertilizer
Verdienst-N; M	merit; earnings
Klumpen-M	lump
Markierung-F	marking
Erniedrigung-F	humiliation
Hebamme-F	midwife
Jahrmarkt-M	fair
Fegefeuer-N	purgatory
Knochenmark-N	(bone) marrow
Sarg-M	coffin
Fehlfunktion-F	malfunction
Sabbat-M	Sabbath
Marathon-M	marathon
Geldstrafe-F	fine
Reflex-M	reflex
Tramp-M	tramp
Zimmermann-M	carpenter
Vermachtnis-N	legacy
Pein-F	torment (fml)
Verzug-M	default, delay
Ozean-M	ocean
Mayonnaise-F	mayonnaise
Gasthaus-N	inn
Pantoffel-M	slipper
Rassist-M	racist
ManikUre-F	manicure
Plankton-N	plankton
Kreuzer-M	cruiser
Laufbahn-F	career, track
Harte-F	hardness
SchIussfolgerung-F	conclusion
Blasphemie-F	blasphemy
Mix-M	mix
Schriftrolle-F	scroll
Wappen-N	crest, emblem
lnjektion-F	injection
Schauplatz-M	scene
Plasma-N	plasma
Taugenichts-M	good for nothing
Scherbe-F	shard
Kittel-M	tunic, gown
Faulnis-F	decay
Katholik-M	Catholic
Zensur-F	censorship
Kapitalismus-M	capitalism
Schraubenzieher-M	screwdriver
Mundgeruch-M	bad breath
Foul-N	foul
Filmmaterial-N	footage
Krampf-M	cramp
Kassette-F	cassette, cartridge
Balg-M/N	brat (coll)
Kolumbien-N	Colombia
einschreiben-vb; N	register; registered
Freiraum-M	freedom, open space
Artefakt-N	artifact
Traktor-M	tractor
Gesundheitsamt-N	board of health
Stich-M	sting, stitch
Miene-F	countenance, face
Punsch-M	punch
ldol-N	idol
Kabinett-N	cabinet
Zugabe-F	bonus, addition
Abstammung-F	descent
Korsett-N	corset
Ausstrahlung-F	charisma, broadcast
Rindfleisch-N	beef
Vorgehensweise-F	method, approach
Tausender-M	grand (coll)
Tollwut-F	rabies
Schlachter-M	butcher
Erfrischung-F	refreshment
Apostel-M	apostle
Apfelkuchen-M	apple pie
Fundament-N	foundation
Geleit-N	escort
Behauptung-F	assertion, claim
Filiale-F	branch (office)
Verpflegung-F	catering, food
Vorkehrung-F	precaution
Rasiermesser-M	razor
Geheimhaltung-F	secrecy
lmbiss-M	snack, diner
Umkleideraum-M	locker room
Raumschiff-N	spaceship
Kies-M	gravel
Sekte-F	cult
Stichwort-N	keyword, cue
Posaune-F	trombone
Knuppel-M	club
Instruktion-F	instruction
Spitzel-M	snitch (coll)
Kraut-N	herb,cabbage
Karawane-F	caravan
Delle-F	dent
Klischee-N	stereotype
Anziehungskraft-F	appeal
Curry-M/N	curry
Schwarzmarkt-M	black market
Abbruch-M	termination
Erschaffung-F	creation (fml)
Skalpell-N	scalpel
Toilettenpapier-N	toilet paper
Anrufer-M	caller
Bezeichnung-F	label
Kelch-M	goblet
Vorliebe-F	preference
Narkose-F	anesthesia
Eroberung-F	conquest
Kurzschluss-M	short (circuit)
Gefolge-N	entourage
Faulpelz-M	slacker
Gurke-F	cucumber
Turnhalle-F	gym
Rivale-M	rival
Steinbruch-M	quarry
Kapuze-F	hood
Falschgeld-N	counterfeit money
Knacker-M	geezer (coll)
Kanne-F	pot
Gelaber-N	shit (coll)
Pyramide-F	pyramid
Spielplatz-M	playground
Plakat-N	poster
Gemetzel-N	slaughter
Wucht-F	force
Hausherr-M	host, landlord
Fluchtweg-M	escape route
Kuken-N	baby bird
Buffet-N	buffet
Vorabend-M	evening before
Enkelkind-N	grandchild
Haftstrafe-F	prison sentence
Aufschlag-M	surcharge, impact
Protein-N	protein
Beruhigung-F	reassurance, calming
Kraftwerk-N	power plant
Splitter-M	splinter
Courage-F	courage
Schnuffler-M	snooper
Joghurt-M/N/F	yoghurt
Moderator-M	presenter
Dichtung-F	seal, poetry
Tranengas-N	tear gas
Stereoanlage-F	stereo
Milz-F	spleen
Comic-MIN	comic
Sperrgebiet-N	restricted zone
Wachposten-M	guard
Adoption-F	adoption
Sims-M/N	ledge
Moos-N	moss, money (coll)
Urne-F	urn
Sabel-M	saber
Peilung-F	bearing
Chemiker-M	chemist
Sirup-M	syrup
FuBabdruck-M	footprint
Opium-N	opium
rascheln-vb; N	rustle; swish
Talisman-M	talisman
Zement-M	cement
Seelenklempner-M	shrink (coll)
Gleichheit-F	equality
Reservat-N	reservation
Anstellung-F	employment
Pot-N	pot (coll)
Abteilungsleiter-M	department manager
Schub-M	thrust, boost
Unterbewusstsein-N	subconscious
Lehrbuch-N	textbook
Verwandtschaft-F	relationship, relatives
Fiktion-F	fiction
Kupplung-F	clutch
Lawine-F	avalanche
Eifer-M	zeal
BuBe-F	penance
TOrsteher-M	bouncer, doorman
berlegung-F	consideration
Ekstase-F	frenzy
Saat-F	seed
Zahnstocher-M	toothpick
Arsenal-N	arsenal
Gefahrte-M	companion
Showgeschaft-N	showbiz (coll)
Kreuzzug-M	crusade
Versohnung-F	reconciliation
Revanche-F	revenge (fml)
Vorrang-M	priority
Rekord-M	record
Funke-M	spark
Kolben-M	piston
Mixer-M	blender
Bewachung-F	guard
Badeanzug-M	swimsuit
Mitmensch-M	fellow man
Copyright-N	copyright
Chrom-N	chrome
Mudigkeit-F	fatigue
Sternschnuppe-F	shooting star
Durchsuchung-F	search
Vergnugungspark-M	theme park
Sporthalle-F	sports hall
Refrain-M	chorus
Flammenwerfer-M	flame thrower
Parole-F	password, slogan
Mond-M	moon
Witzfigu r-F	laughingstock
Christentum-N	Christianity
Autopilot-M	autopilot
Schutzengraben-M	trench
Hummel-F	bumblebee
Apotheker-M	pharmacist
Komplott-N	conspiracy
Krieger-M	warrior
Transfer-M	transfer
Most-M	cider
Fiasko-N	fiasco
Bosnien-N	Bosnia
Eroberer-M	conqueror
FuBspur-F	footprint
Totenkopf-M	skull
Patriotismus-M	patriotism
Gespott-N	mockery
Kranz-M	wreath
Feindseligkeit-F	hostility
Einzug-M	collection, entry
Statthalter-M	governor
Popo-M	butt (coll)
Volt-N	volt
Suchtrupp-M	search party
Unterfangen-N; vb	undertaking, venture
Juwelier-M	jeweler
Weber-M	weaver
Portrait-N	portrait
Abzweigung-F	junction, branch
Oberfluss-M	abundance
Schluckchen-N	little drink
Rettungsboot-N	lifeboat
Schauspielerei-F	acting
