Noun,Gender,Plurality
Word,n,
Jahr,n,Jahre
Mal,n,Male
Beispiel,n,Beispiele
Zeit,f,Zeiten
Beispiel,n,Beispiele
Deutsche,f,Deutsche
Deutscher,m,Deutsche
Deutsch,n,no plural
Tag,m,Tage
Frau,f,Frauen
Kind,n,Kinder
Aspekt,m,Aspekte
Mensch,m,Menschen
Mann,m,Männer
Haus,n,Häuser
Frage,f,Fragen
Frage,f,Fragen
Land,n,Länder
Prozent,n,Prozente
Leute,m,only
Fall,m,Fälle
Hand,f,Hände
Arbeit,f,Arbeiten
Teil,m,Teile
Problem,n,Probleme
Herr,m,Herren
Stadt,f,Städte
Teil,m,Teile
Welt,f,Welten
Ende,n,Enden
Ende,n,Enden
Million,f,Millionen
Schule,f,Schulen
Ende,n,Enden
Recht,n,Rechte
Woche,f,Wochen
Grund,m,Gründe
Leben,n,Leben
Auge,n,Augen
Mutter,f,Mütter
Seite,f,Seiten
Vater,m,Väter
Grunde,m,
Art,f,Arten
Bereich,m,Bereiche
Bereich,m,Bereiche
Weg,m,Wege
Geld,n,Gelder
Sache,f,Sachen
Wort,n,Wörter
Name,m,Namen
Stunde,f,Stunden
Gesellschaft,f,Gesellschaften
Kopf,m,Köpfe
Kopf,m,Köpfe
Geschichte,f,Geschichten
Bild,n,Bilder
Mark,f,Mark
Paar,n,Paare
Möglichkeit,f,Möglichkeiten
Stelle,f,Stellen
Unternehmen,n,no plural
Buch,n,Bücher
Form,f,Formen
Wasser,n,Wasser
Sinn,m,Sinne
Familie,f,Familien
Aufgabe,f,Aufgaben
Universität,f,Universitäten
Abend,m,Abende
Entwicklung,f,Entwicklungen
Morgen,m,Morgen
Monat,m,Monate
Nacht,f,Nächte
Person,f,Personen
Ziel,n,Ziele
Ding,n,Dinge
Euro,m,Euros
Freund,m,Freunde
Blick,m,Blicke
Sinne,S,no plural
Staat,m,Staaten
Thema,n,Themen
Raum,m,Räume
System,n,Systeme
Platz,m,Plätze
Wert,m,Werte
Uhr,f,Uhren
Zahl,f,Zahlen
Blick,m,Blicke
Minute,f,Minuten
Straße,f,Straßen
Gruppe,f,Gruppen
Eltern,p,only
Anfang,m,Anfänge
Anfang,m,Anfänge
Ort,m,Orte
Moment,m,Momente
Gesicht,n,Gesichter
Sprache,f,Sprachen
Moment,m,Momente
Rolle,f,Rollen
Interesse,n,Interessen
Bedeutung,f,Bedeutungen
Text,m,Texte
Folge,f,Folgen
Tür,f,Türen
Milliarde,f,Milliarden
Krieg,m,Kriege
Schüler,m,Schüler
Rolle,f,Rollen
Ergebnis,n,Ergebnisse
Gespräch,n,Gespräche
Wesentlichen,W,no plural
Meter,m,Meter
Wohnung,f,Wohnungen
Stück,n,Stücke
Regierung,f,Regierungen
Weise,f,Weisen
Situation,f,Situationen
Abbildung,f,Abbildungen
Jahrhundert,n,Jahrhunderte
Boden,m,Böden
Lehrer,m,Lehrer
Begriff,m,Begriffe
Punkt,m,Punkte
Funktion,f,Funktionen
Boden,m,Böden
Preis,m,Preise
Sohn,m,Söhne
Kunst,f,Künste
Angst,f,Ängste
Information,f,Informationen
Werk,n,Werke
Politik,f,Politiken
Richtung,f,Richtungen
Rahmen,m,Rahmen
Stimme,f,Stimmen
Musik,f,Musiken
Programm,n,Programme
Rahmen,m,Rahmen
Schritt,m,Schritte
Gott,m,Götter
Absatz,m,Absätze
Beruf,m,Berufe
Gott,m,Götter
Auto,n,Autos
Regel,f,Regeln
Beziehung,f,Beziehungen
Markt,m,Märkte
Gefühl,n,Gefühle
Licht,n,Lichter
Tisch,m,Tische
Spiel,n,Spiele
Präsident,m,Präsidenten
Zukunft,f,Zukünfte
Erfahrung,f,Erfahrungen
Partei,f,Parteien
Bank,f,Bänke
Tochter,f,Töchter
Mädchen,n,Mädchen
Kirche,f,Kirchen
Verhältnis,n,Verhältnisse
Doktor,m,Doktoren
Gedanke,m,Gedanken
Film,m,Filme
Zusammenhang,m,Zusammenhänge
Zusammenhang,m,Zusammenhänge
Gesetz,n,Gesetze
Firma,f,Firmen
Student,m,Studenten
Entscheidung,f,Entscheidungen
Prozess,m,Prozesse
Arm,m,Arme
Kraft,f,Kräfte
September,m,September
Betrieb,m,Betriebe
Zeitung,f,Zeitungen
Angebot,n,Angebote
Grenze,f,Grenzen
Chance,f,Chancen
Satz,m,Sätze
Zuhause,n,no plural
Erfolg,m,Erfolge
Mitglied,n,Mitglieder
Internet,n,no plural
Leistung,f,Leistungen
Lage,f,Lagen
Projekt,n,Projekte
Kultur,f,Kulturen
Auftreten,n,no plural
Verhalten,n,Verhalten
Arzt,m,Ärzte
Zimmer,n,Zimmer
Körper,m,Körper
Fuß,m,Füße
Klasse,f,Klassen
Zuge,Z,no plural
Zug,m,Züge
Chef,m,Chefs
Lösung,f,Lösungen
Fenster,n,Fenster
Junge,m,Jungen
Produkt,n,Produkte
Studium,n,Studien
Höhe,f,Höhen
Vergleich,m,Vergleiche
Idee,f,Ideen
Luft,f,Lüfte
Englisch,n,no plural
Französisch,n,no plural
Meinung,f,Meinungen
Höhe,f,Höhen
Vergleich,m,Vergleiche
Natur,f,Naturen
Bett,n,Betten
Wirtschaft,f,Wirtschaften
Spaß,m,Späße
Modell,n,Modelle
Geschäft,n,Geschäfte
Bewegung,f,Bewegungen
Mittel,n,Mittel
Kunde,m,Kunden
Tier,n,Tiere
Mitarbeiter,m,Mitarbeiter
Tod,m,Tode
Dorf,n,Dörfer
Bruder,m,Brüder
Verfügung,f,Verfügungen
Angabe,f,Angaben
Verfügung,f,Verfügungen
Gast,m,Gäste
Sicherheit,f,Sicherheiten
Dank,m,no plural
Kollege,m,Kollegen
Dank,m,no plural
Verfügung,f,Verfügungen
Gebiet,n,Gebiete
Einsatz,m,Einsätze
Anwendung,f,Anwendungen
Verbindung,f,Verbindungen
Vorstellung,f,Vorstellungen
Kontakt,m,Kontakte
Fach,n,Fächer
Menge,f,Mengen
Verbindung,f,Verbindungen
Sommer,m,Sommer
Anspruch,m,Ansprüche
Herz,n,Herzen
Antwort,f,Antworten
Ausbildung,f,Ausbildungen
Alter,n,Alter
Kilometer,m,Kilometer
Vertrag,m,Verträge
Hilfe,f,Hilfen
Dollar,m,Dollars
Verfahren,n,Verfahren
Theater,n,Theater
Gefahr,f,Gefahren
Patient,m,Patienten
Kosten,p,only
Polizei,f,Polizeien
Computer,m,Computer
Gerät,n,Geräte
Oktober,m,Oktober
Reihe,f,Reihen
Stoff,m,Stoffe
Mitte,f,Mitten
Glück,n,no plural
Maßnahme,f,Maßnahmen
Westen,m,no plural
Ordnung,f,Ordnungen
Reihe,f,Reihen
Beginn,m,Beginne
Wochenende,n,Wochenenden
Professor,m,Professoren
Osten,m,no plural
Reise,f,Reisen
Einheit,f,Einheiten
Institut,n,Institute
Bevölkerung,f,Bevölkerungen
Erde,f,Erden
Schwester,f,Schwestern
Ebene,f,Ebenen
Wahl,f,Wahlen
Bedingung,f,Bedingungen
Lächeln,n,Lächeln
Struktur,f,Strukturen
Prinzip,n,Prinzipien
Risiko,n,Risiken
Vorteil,m,Vorteile
Haar,n,Haare
Wirkung,f,Wirkungen
Montag,m,Montage
Nähe,f,no plural
Autor,m,Autoren
Prinzip,n,Prinzipien
Sonntag,m,Sonntage
Größe,f,Größen
Medien,M,no plural
Untersuchung,f,Untersuchungen
Veränderung,f,Veränderungen
Daten,n,only
Organisation,f,Organisationen
Einfluss,m,Einflüsse
Macht,f,Mächte
Methode,f,Methoden
Brief,m,Briefe
Augenblick,m,Augenblicke
Sport,m,Sporte
Augenblick,m,Augenblicke
Diskussion,f,Diskussionen
Liebe,f,Lieben
Technik,f,Techniken
Versuch,m,Versuche
Kreis,m,Kreise
Forderung,f,Forderungen
Rede,f,Reden
Tätigkeit,f,Tätigkeiten
Krankheit,f,Krankheiten
Eindruck,m,Eindrücke
Voraussetzung,f,Voraussetzungen
Kampf,m,Kämpfe
Schwierigkeit,f,Schwierigkeiten
Schweigen,n,no plural
Künstler,m,Künstler
Region,f,Regionen
Beitrag,m,Beiträge
Schweizer,m,Schweizer
Konzept,n,Konzepte
Mund,m,Münder
Franken,F,no plural
Wunsch,m,Wünsche
Artikel,m,Artikel
Reaktion,f,Reaktionen
Linie,f,Linien
Gegensatz,m,Gegensätze
Rücken,m,Rücken
Kapitel,n,Kapitel
Literatur,f,Literaturen
Aussage,f,Aussagen
Bürger,m,Bürger
Wand,f,Wände
