Word,Definitions
nicht,"nicht; not, non- (negates the meaning of a verb, adjective, or adverb)"
werden,"werden (irregular, third-person singular present wird, past tense wurde or (archaic) ward, past participle geworden or (as an auxiliary) worden, past subjunctive würde, auxiliary sein); (auxiliary, with an infinitive, past participle geworden) will; to be going (to do something); forms the future tense; (auxiliary, in subjunctive with an infinitive) would; forms the subjunctive tense of most verbs; (auxiliary, with a past participle, past participle worden) to be done; forms the passive voice; (copulative, past participle geworden) to become; to get; to grow; to turn; (with a dative object and certain adjectives) to begin or come to feel or experience (a condition); (copulative, colloquial) to be, to happen, to occur (in the future); (colloquial) to be going to work"
auch,"auch; also; too; as well (in addition to whatever or whoever has previously been listed); Used for emphasis.; even (implying an extreme example in the case mentioned, as compared to the implied reality); ever as in whatever, whenever, however, etc."
sich,"sich (both accusative and dative); (reflexive) Reflexive pronoun of the third person singular: herself, himself, itself, oneself (direct or indirect object).; (reflexive) Reflexive pronoun of the third person plural: themselves (direct or indirect object)."
haben,"haben (irregular, third-person singular present hat, past tense hatte, past participle gehabt, past subjunctive hätte, auxiliary haben); (auxiliary, with a past participle) to have (forms the perfect and past perfect tenses); (transitive) to have; to own (to possess, have ownership of; to possess a certain characteristic); (transitive) to have; to hold (to contain within itself/oneself); (transitive) to have, get (to obtain, acquire); (transitive) to get (to receive); (transitive) to have (to be scheduled to attend); (transitive) to have (to be afflicted with, suffer from); (transitive, of units of measure) to contain, be composed of, equal; (impersonal, dialectal, with es) there be, there is, there are; (reflexive, colloquial) to make a fuss; (colloquial, with es and mit) to be occupied with, to like, to be into; (colloquial, with es and von or über) to talk about"
sein,"sein (irregular, third-person singular present ist, past tense war, past participle gewesen, past subjunctive wäre, auxiliary sein); (copulative, with a predicate adjective or predicate nominative) to be; (with a dative object and certain adjectives) to feel, (to experience a condition); (with a dative object and nach or danach, sometimes with zumute) to feel like, to be in the mood for; (auxiliary) forms the present perfect and past perfect tenses of certain intransitive verbs; (intransitive) to exist; there to be; to be alive; (intransitive, colloquial) to have the next turn (in a game, in a queue, etc.); (intransitive, childish) to be ""it""; to be the tagger in a game of tag"
so,"so; so, such, that; as (followed by an adjective or adverb plus wie in a statement of equality); thus, like this/that, in this/that way, in this/that manner; then (in that case); (colloquial) expletive; sometimes intensifying, sometimes with no noticeable meaning"
noch,"noch; still, yet (up to and including a given time); yet, eventually (at an unknown time in the future); additionally, in addition, besides, else; more often expressed in English with another, more; (only) just; barely (by a small margin); (with comparative) even"
also,"also (coordinating); so, therefore"
und,"und; (co-ordinating) and; (colloquial) links two nouns, often a person and an activity, in rhetoric questions to express an opposition between them"
ja,"ja; yes; yea, yeah, aye; (intensifier) obviously; certainly; of course; really; just; as you know; as is generally known (indicates and emphasises that one is expressing a known fact)"
dann,"dann; then, after that; then, in that case"
da,da; (local) there; here; (temporal) then; so; at that moment; (colloquial) replaces any pronominal adverb when the context is clear
was,"was; (interrogative) what; (relative) which (referring to the entire preceding clause); (relative) that, which (referring to das, alles, etwas, nichts, and neuter substantival adjectives); (relative, colloquial) that, which (referring to neuter singular nouns, instead of standard das); (indefinite, colloquial) something, anything (instead of standard etwas)"
gar,"gar (strong nominative masculine singular garer, not comparable); cooked, done (of food such as meat or vegetables: ready for consumption); (of a metal) refined"
können,"können (preterite-present, third-person singular present kann, past tense konnte, past participle gekonnt or (as an auxiliary verb) können, past subjunctive könnte, auxiliary haben); to be able (to do or be something), to have the possibility of; can."
dies,dies; Alternative form of dieses
wie,wie; how
man,"man; one, you (indefinite pronoun; construed as a third-person singular); they, people (people in general); someone, somebody (some unspecified person); they (some unspecified group of people)"
all,"all; all; every (in time intervals, with plural noun)"
müssen,"müssen (preterite-present, third-person singular present muss, past tense musste, past participle gemusst, past subjunctive müsste, auxiliary haben); (auxiliary, with an infinitive → “müssen” replaces the past participle) to have to (do something); must; to be obliged (to do something); to need (to do something).; (intransitive, with past participle “gemusst”) to have to do something implied; must; to be obliged.; (colloquial, euphemistic) to need to go to the bathroom."
nur,"nur; only, just, merely, simply; ever; at all; however, though"
allem,"allem; Dative singular masculine and neutral gender forms of alles (""all"")."
nicht,"nicht; not, non- (negates the meaning of a verb, adjective, or adverb)"
ander,"ander (strong nominative masculine singular anderer, not comparable); See anderer.; (obsolete) the second"
schon,"schon; already (happening rather early, continuing rather long); previously, before (at some time in the past; but not: before a certain event); expresses that an action has been completed; already (but more frequent); yet (in questions); (modal particle) expresses a weighing of arguments, contrast between two statements, partial agreement, concession; admittedly; sure(ly); definitely; indeed; really (as an intensifier)"
sagen,"sagen (weak, third-person singular present sagt, past tense sagte, past participle gesagt, auxiliary haben); (transitive) to say (to pronounce; communicate verbally); (transitive) to tell (to inform (someone) verbally); (transitive) to mean (to convey or signify); to speak up [+etwas]"
als,"als; (subordinating, referring to time of occurrence) at (approximately) the same moment; when; while; as; (used with a comparison or as an exception) than; as; like; in the function of; in the form of; as if; (after negative pronoun) but, other than"
mehr,mehr; something more
