#separator:tab
#html:true
"List

"	
"list

"	
"Inseparable Common

"	
"Inseparable Incommon

"	
"Separable

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"list

"	
"what are the accusative prepositions?

"	
"what are the dative prepositions?

"	
"What are the two way prepositions?

"	
"what are the genitive prepositions?

"	
w	sein, werden, bleiben, heissen, scheinen
wha	gut bange heiss kalt schlecht schwindlig u.bel warm (un)wohl
w	auBer, gegenu.ber, ohne, seit, all gens
