Word,Definitions
irrelevant,"irrelevant (strong nominative masculine singular irrelevanter, not comparable); irrelevant"
einwandfrei,"einwandfrei (strong nominative masculine singular einwandfreier, comparative einwandfreier, superlative am einwandfreiesten or am einwandfreisten); perfect, impeccable"
ungezogen,"ungezogen (strong nominative masculine singular ungezogener, comparative ungezogener, superlative am ungezogensten); naughty"
verschlagen,"verschlagen (class 6 strong, third-person singular present verschlägt, past tense verschlug, past participle verschlagen, past subjunctive verschlüge, auxiliary haben); (transitive) to drive, to strand; to shlep; to bring (causing difficulty, often to somewhere someone didn't want to go); (idiomatic, with dative, in collocations) to suddenly take away; to lose (one's page in a book); (cooking) to beat together; (sports) to mishit (a ball); (mit Brettern verschlagen) to board up; (regional) to beat up, to thrash"
fehlend,"fehlend (strong nominative masculine singular fehlender, not comparable); missing"
homosexuell,"homosexuell (strong nominative masculine singular homosexueller, not comparable); homosexual"
rau,"rau (strong nominative masculine singular rauer, comparative rauer, superlative am rauesten or am rausten); rough"
bleich,"bleich (strong nominative masculine singular bleicher, comparative bleicher, superlative am bleichsten); pale, pallid"
seekrank,"seekrank (strong nominative masculine singular seekranker, not comparable); seasick"
machbar,"machbar (strong nominative masculine singular machbarer, not comparable); practicable, feasible"
futsch,"futsch (indeclinable, predicative only); (colloquial) down the drain, gone, away"
ehrenwert,"ehrenwert (strong nominative masculine singular ehrenwerter, comparative ehrenwerter, superlative am ehrenwertesten); honourable; reputable"
mager,"mager (strong nominative masculine singular magerer or (rare) magrer, not comparable); lean, without fat; meager, skinny"
unverzeihlich,"unverzeihlich (strong nominative masculine singular unverzeihlicher, comparative unverzeihlicher, superlative am unverzeihlichsten); unforgivable"
rasend,"rasend (strong nominative masculine singular rasender, comparative rasender, superlative am rasendsten); raging, frantic"
maximal,"maximal (strong nominative masculine singular maximaler, not comparable); maximal"
gescheit,"gescheit (strong nominative masculine singular gescheiter, comparative gescheiter, superlative am gescheitesten); (of people, actions) clever, intelligent, wise; (informal, of things) reasonable, proper, decent, useful"
obdachlos,"obdachlos (strong nominative masculine singular obdachloser, not comparable); homeless"
vorbestraft,"vorbestraft (strong nominative masculine singular vorbestrafter, not comparable); previously convicted"
unfreundlich,"unfreundlich (strong nominative masculine singular unfreundlicher, comparative unfreundlicher, superlative am unfreundlichsten); unfriendly"
ungelegen,"ungelegen (strong nominative masculine singular ungelegener, not comparable); inconvenient, inopportune"
telefonisch,"telefonisch (strong nominative masculine singular telefonischer, not comparable); telephonic"
ungeeignet,"ungeeignet (strong nominative masculine singular ungeeigneter, comparative ungeeigneter, superlative am ungeeignetsten); inappropriate, unsuitable, inadequate"
ungesund,"ungesund (strong nominative masculine singular ungesunder, comparative ungesünder or ungesunder, superlative am ungesündesten or am ungesundesten); unhealthy (detrimental to health); (of appearance, symptoms) unhealthy (indicative of bad health); (rare, of living beings) unhealthy; ill; in poor health; doubtful, but if usable at all, only for chronic or recurrent illness"
verbittert,"verbittert (strong nominative masculine singular verbitterter, not comparable); embittered, bitter, resentful, acerbated"
antik,"antik (strong nominative masculine singular antiker, comparative antiker, superlative am antiksten); of the age of Antiquity; Greek, Roman, etc.; antique (old but possibly of value to collectors)"
nervig,"nervig (strong nominative masculine singular nerviger, comparative nerviger, superlative am nervigsten); (literally or figurative) sinewy; (botany, of leaves) veined, ribbed; (informal) pesky, annoying"
gewillt,"gewillt (strong nominative masculine singular gewillter, comparative gewillter, superlative am gewilltesten); willing"
beunruhigend,"beunruhigend (strong nominative masculine singular beunruhigender, comparative beunruhigender, superlative am beunruhigendsten); worrying, disconcerting"
schlapp,"schlapp (strong nominative masculine singular schlapper, comparative schlapper, superlative am schlappsten); (of people or behaviour) weak, lacking vigour, weary, exhausted; (of things) slack, flabby, limp"
schamlos,"schamlos (strong nominative masculine singular schamloser, comparative schamloser, superlative am schamlosesten); shameless (having no shame), indecent; brazen (impudent, immodest, or shameless), barefaced"
irisch,"irisch (strong nominative masculine singular irischer, not comparable); (relational) Irish"
irdisch,"irdisch (strong nominative masculine singular irdischer, comparative irdischer, superlative am irdischsten); terrestrial, earthly; worldly, mundane"
unerreichbar,"unerreichbar (strong nominative masculine singular unerreichbarer, comparative unerreichbarer, superlative am unerreichbarsten); unattainable, inaccessible, unreachable"
augenblicklich,"augenblicklich (strong nominative masculine singular augenblicklicher, not comparable); immediate; present"
grotesk,"grotesk (strong nominative masculine singular grotesker, comparative grotesker, superlative am groteskesten); grotesque; bizarre; zany; farcical"
Vanille,"Vanille f (genitive Vanille, no plural); (botany) vanilla"
gnadenlos,"gnadenlos (strong nominative masculine singular gnadenloser, comparative gnadenloser, superlative am gnadenlosesten); merciless, unforgiving"
unschlagbar,"unschlagbar (strong nominative masculine singular unschlagbarer, not comparable); unbeatable"
koscher,"koscher (strong nominative masculine singular koscherer, not comparable); (Judaism, of food) kosher; (colloquial, chiefly in the negative) free of doubt, safe"
nobel,"nobel (strong nominative masculine singular nobler, comparative nobler, superlative am nobelsten); noble, honourable"
abwesend,"abwesend (strong nominative masculine singular abwesender, comparative abwesender, superlative am abwesendsten); absent (being away from a place); distracted; not concentrated; absentminded"
senii,seniī; genitive singular of senium
