Noun,Gender,Plurality
Word,n,
Vanille,f,no plural
Genfer,m,Genfer
Waschmaschine,f,Waschmaschinen
Logo,m,Logos
Limit,n,Limits
Zusammenbruch,m,Zusammenbrüche
Makler,m,Makler
Fahndung,f,Fahndungen
Darm,m,Därme
Aufschrei,m,Aufschreie
Nippel,m,Nippel
Tyrann,m,Tyrannen
Vormund,m,Vormünder
Pelz,m,Pelze
Marionette,f,Marionetten
Bestechung,f,Bestechungen
Regime,n,Regime
Lachs,m,Lachse
Schotte,m,Schotten
Eintopf,m,Eintöpfe
Gratulation,f,Gratulationen
Pointe,f,Pointen
Bademantel,m,Bademäntel
Paragraph,m,Paragraphen
Pickel,m,Pickel
Einklang,m,Einklänge
Rektor,m,Rektoren
Alligator,m,Alligatoren
Barbier,m,Barbiere
Stamm,m,Stämme
Lehrling,m,Lehrlinge
Tanne,f,Tannen
Kran,m,Kräne
Kollektion,f,Kollektionen
Schlagzeug,n,Schlagzeuge
Horde,f,Horden
Patsche,f,Patschen
Kamel,n,Kamele
Befugnis,f,Befugnisse
Farce,f,Farcen
Unterhalt,m,no plural
Getriebe,n,Getriebe
Einzelhaft,f,no plural
Schi,m,Schier
Entschlossenheit,f,no plural
Kopfgeld,n,Kopfgelder
Verurteilung,f,Verurteilungen
Prostitution,f,no plural
Wohnheim,n,Wohnheime
Serum,n,Seren
Karussell,n,Karusselle
Eintrag,m,Einträge
Elch,m,Elche
Kerker,m,Kerker
Arche,f,Archen
Verwandlung,f,Verwandlungen
Durchfall,m,Durchfälle
Tresen,m,Tresen
Landkarte,f,Landkarten
Begierde,f,Begierden
Denkmal,n,Denkmale
Demo,f,Demos
Blickwinkel,m,Blickwinkel
Vers,m,Verse
Yoga,n,no plural
Ensemble,n,Ensembles
Reklame,f,Reklamen
Beil,n,Beile
Ruin,m,no plural
Mast,m,Masten
Trauung,f,Trauungen
Treppenhaus,n,Treppenhäuser
Anfall,m,Anfälle
Hochstapler,m,Hochstapler
Wirtshaus,n,Wirtshäuser
Spatz,m,Spatzen
Vorstellungskraft,f,no plural
Gruft,f,Grüfte
Angsthase,m,Angsthasen
Abdruck,m,Abdrücke
Jackpot,m,Jackpots
Puzzle,n,Puzzles
Schmerzmittel,n,Schmerzmittel
Drehort,m,Drehorte
Todesangst,f,Todesängste
Schminke,f,Schminken
Rekrut,m,Rekruten
Stander,m,Stander
Fachmann,m,Fachmänner
Klammer,f,Klammern
Rohre,R,no plural
Schimpanse,m,Schimpansen
Torpedo,m,Torpedos
Unkraut,n,Unkräuter
Abwurf,m,Abwürfe
Hackfleisch,n,no plural
Finanzierung,f,Finanzierungen
Waggon,m,Waggons
Falke,m,Falken
Cello,n,Cellos
Automatik,f,Automatiken
Favorit,m,Favoriten
Zauberstab,m,Zauberstäbe
Ausschnitt,m,Ausschnitte
Beihilfe,f,Beihilfen
Schaffner,m,Schaffner
Henker,m,Henker
Wahnvorstellung,f,Wahnvorstellungen
Taille,f,Taillen
Polizeirevier,n,Polizeireviere
Fass,n,Fässer
Subjekt,n,Subjekte
Buchhandlung,f,Buchhandlungen
Kreuzfahrt,f,Kreuzfahrten
Abbild,n,Abbilder
Kanalisation,f,Kanalisationen
Karo,n,Karos
Rasse,f,Rassen
Zweig,m,Zweige
Kaktus,m,Kakteen
Vorstrafe,f,Vorstrafen
