#separator:tab
#html:true
List	alt, jung, breit, dick, dünn, hoch, tief, lang, schwer		
list	allein, absolut, dreieckig, einzig, erste, extrem, falsch, fertig, ganz, gleich, kinderlos, lebendig, letzte, maximal, minimal, mündlich, optimal, rein, richtig, schriftlich, schwanger, stumm, total, voll, unvergleichbar		
Inseparable Common	be, ent, er, ge, miss, ver, zer		
Inseparable Incommon	hinter, de(s), dis, in, inter, re		
Separable	ab, an, auf, aus, ein, her, heraus, herein, herab, herauf, herunter, herüber, hervor, hin, hinaus, hinein, hinab, hinauf, hinunter, hinüber, mit, nach, vor, weg, zu, züruck, bei, empor, entgegen, fest, fort, heim, los, voran, weiter, zusammen, auseinander, dar, fehl, fern, entzwei, gegenüber, hinterher, inne, hoch, nieder, zurecht, zwischen		
list	bedu.rftig, bewusst, fa.hig, gewiss, sicher, u.berdru.ssig, verda.chtigt, wu.rdig		
list	abfragen, angehen, lehren, nennen, kosten		
list	biegen, fahren, fliegen, reiten, schwimmen, stossen, ziehen, humpeln, tauchen		
list	abtra.glich, a.hnlich, angemessen, angenehm, begreiflich, behilflich, bekannt, bequem, beschwerlich, bewusst, bo.se, dankbar, dienlich, egal, eigen, einerlei, ergeben, fo.rderlich, fremd, gefa.hrlich, geheuer, gela.ufig, gemeinsam, gewachsen, gleich, heiB, hinderlich, kalt, klar, langweilig, la.stig, leicht, lieb, mo.glich, nahe, neu, nu.tzlich, peinlich, recht, scha.dlich, schlecht, schuldig, schwindelig, sympathisch, teuer, treu, u.bel, u.berlegen, unbegreiflich, unheimlich, unterlegen, unversta.ndlich, verbunden, versta.ndlich, verwandt, warm, wichtig, willkommen, zugetan, zutra.glich, zuwider		
list	antworten, folgen, gefallen, geho.ren, glauben, helfen, passieren, raten, schmecken, weh|tun, zu|ho.ren, befehlen, danken, fehlen, nach|laufen, nach|rennen, hinterher|laufen, hinterher|rennen, passen, ver|trauen, vergeben, verzeihen, widersprechen, zu|sehen, fremd|gehen, zu|stimmen, a.hneln, begegnen, bei|stehen, bei|treten, drohen, entgegen|gehen, entgegen|fahren, entgegen|kommen, gratulieren, sich na.hern, schaden, ein|fallen, gehorchen, genu.gen, gut|tun, nu.tzen, aus|weichen, dienen, gelingen, misslingen, winken, munden, glu.cken, auffallen, erwidern, erlauben, geschehen, helfen, smeicheln, lauschen, gleichen, erscheinen		
list	an|ziehen, aus|ziehen, duschen, ab|trocknen, entscheiden, schminken, to.ten, verteidigen, waschen, an|passen, fragen, ka.mmen, kratzen, rasieren, verabschieden, gewo.hnen, nennen, verpflichten, schaden, verzeihen, waschen, wu.nschen, bei|bringen, widersprechen, go.nnen, senken, ab|gewo.hnen, an|gewo.hnen, verschaffen		
